lead_id,fecha_registro,canal,empresa_id,punto_venta_id,nombre_cliente,telefono,email,ciudad,modelo_interes_texto,estado_gestion,fecha_primer_contacto,campania
LD-00001,25-08-2026,Meta Ads,EMP-03,PV-014,  Wilmar Castaño Rodríguez  ,310 482 4081,,bogotá,Bajaj Pulsar RS 200,Cotización enviada,25-08-2026,Feria de Motos 2026
LD-00002,26-08-2026,formulario web,EMP-02,PV-010,  Claudia Patricia Agudelo Londoño  , 3055411722 ,claudia.agudelo22@hotmail.com,,A.K.T Dynamic R3 125,Descartado,2026-08-26T14:26:00,Retoma tu moto
LD-00003,01-08-2026,WhatsApp,EMP-02,PV-010,Marcela Muñoz Escobar,+57 350 2258611,marcela.munoz3@yahoo.es,MONTERIA,suzuki best 125,Contactado,2026-08-04 14:47:00,
LD-00004,03/08/2026 10:30,Meta Ads,EMP-01,PV-002,  Yuliana Castaño Valencia  ,3002859667,yuliana.castano97@outlook.com,ITAGUI,Honda  CB 125F Twister,Sin gestión,,Agosto Cero Cuotas
LD-00005,27/08/2026 22:50,META ADS,EMP-03,PV-014,HÉCTOR GIRALDO RESTREPO,573156610968,,Bogotá D.C.,Honda Navi 2026,En proceso,29/08/2026 04:50,
LD-00006,24/08/2026 06:02,WhatsApp,EMP-02,PV-010,MARCELA LONDOÑO CORREA,322-624-9127,marcela.londono94@outlook.com,Montería,Hnda XR 150L,contactado,25/08/2026 12:02,Remate Modelos 2025
LD-00007,09/09/2026 09:55,WhatsApp,EMP-02,PV-009,FABIÁN BEDOYA TORRES, 3049913564 ,fabian.bedoya39@yahoo.es,Sta Marta,akt ttr 200,Cotización enviada,2026-09-09 11:55:00,Feria de Motos 2026
LD-00008,08/18/2026 17:23,Meta Ads,EMP-01,PV-001,Paula Andrea Valencia Franco,300 891 3915,,Medellín,,Cotización enviada,2026-08-18 23:23:00,
LD-00009,2026-08-15T11:08:00,WhatsApp,EMP-01,PV-001,María Fernanda Correa Torres,316 107 2464,maria.correa8@yahoo.es,MEDELLIN,Hero Xpulse 200,contactado,15/08/2026 17:08,Feria de Motos 2026
LD-00010,2026-08-26 20:28:00,WhatsApp,EMP-02,PV-007,Alexander Quintero Arias,300 496 0349,,Soledad,Bajaj Discover,Contactado,2026-08-26T21:28:00,Agosto Cero Cuotas
LD-00011,2026-08-26 04:25:00,Meta Ads,EMP-02,PV-008,  Marcela Muñoz Valencia  ,315 229 3701,marcela.munoz15@yahoo.es,CARTAGENA,suzuki best 125,Sin gestión,,Retoma tu moto
LD-00012,18-08-2026,WHATSAPP,EMP-01,PV-005,María Fernanda Valencia Mosquera,573204225805,,Medellin,AKT EVO RS 150,sin gestion,,
LD-00013,19/08/2026 10:14,Meta Ads,EMP-03,PV-015,CARLOS MARIO RODRÍGUEZ ARIAS,3217385776,carlos.rodriguez19@gmail.com,SOACHA,bajaj discover 125,no contesta,20-08-2026,Feria de Motos 2026
LD-00014,2026-08-14 17:40:00,WhatsApp,EMP-02,PV-008,Jorge Iván Zapata Escobar,573112634024,jorge.zapata23@gmail.com,Cartagena de Indias,Honda XR 150L,no contesta,14/08/2026 18:40,Agosto Cero Cuotas
LD-00015,14/08/2026 00:51,Meta Ads,EMP-03,PV-011,Luisa Betancur Torres,(322) 624-9985,,Bogota DC,Honda Navi,Sin gestión,,
LD-00016,2026-08-30T17:03:00,WHATSAPP,EMP-03,PV-012,Angie Paola Correa Cardona,+57 322 8246161,,BOGOTA,Hero,No contesta,31/08/2026 23:03,Feria de Motos 2026
LD-00017,2026-08-30T17:22:00,WhatsApp,EMP-02,PV-008,  Yuliana Muñoz Ramírez  ,3044030632,yuliana.munoz51@gmail.com,Cartagena de Indias,hero dash 110,Sin gestión,,Feria de Motos 2026
LD-00018,01-09-2026,FORMULARIO WEB,EMP-03,PV-013,  Édinson Arias Mosquera  ,573012885354,edinson.arias61@gmail.com,bogotá,Hero Hunk 160R 2026,Contactado,02-09-2026,Remate Modelos 2025
LD-00019,2026-08-08 11:57:00,Meta Ads,EMP-01,PV-004,BRAYAN MUÑOZ GÓMEZ,+57 318 5408260,brayan.munoz7@yahoo.es,Rio Negro,AKT,Cotización enviada,,Prima Extra
LD-00020,21/08/2026 09:30,WhatsApp,EMP-02,PV-010,KATHERINE ESCOBAR OSPINA, 3160941067 ,katherine.escobar5@hotmail.com,MONTERIA,Honda  XR 150L,Cotización enviada,08/21/2026 11:30,Remate Modelos 2025
LD-00021,2026-08-16 10:07:00,WhatsApp,EMP-02,PV-009,Paula Andrea Valencia Gómez,+57 300 2659835,,SANTA MARTA,Suzuki GN 125,sin gestion,,Feria de Motos 2026
LD-00022,2026-08-19 02:31:00,WhatsApp,EMP-01,PV-004,MÓNICA JIMÉNEZ OSORIO, 3142748306 ,,Rionegro,Bajaj,Cotización enviada,2026-08-21 02:31:00,Agosto Cero Cuotas
LD-00023,06-09-2026,Formulario Web,EMP-01,PV-003,JORGE IVÁN RODRÍGUEZ ESCOBAR,3134849961,,BELLO,Suzuki Gixxer,Contactado,09/10/2026 20:14,Feria de Motos 2026
LD-00024,21/08/2026 23:32,Meta Ads,EMP-01,PV-003,  Alexander Salazar Herrera  ,(350) 007-2753,alexander.salazar79@yahoo.es,bello,Hero Dash 110,contactado,22-08-2026,
LD-00025,2026-08-16 20:42:00,Meta Ads,EMP-03,PV-015,Diana Carolina Quintero Castaño,+57 350 0345760,diana.quintero22@hotmail.com,,Suzuky Gixxer 150,contactado,08/20/2026 20:42,Feria de Motos 2026
LD-00026,2026-08-29 09:44:00,WhatsApp,EMP-03,PV-013,Katherine Cardona Arias,+57 317 6966302,,Bogota,Evo RS 150,No contesta,2026-08-29T21:44:00,Agosto Cero Cuotas
LD-00027,11/08/2026 20:26,Meta Ads,EMP-02,PV-006,Luisa Salazar Agudelo,3125573119,luisa.salazar93@gmail.com,Barranquilla,AKT Dynamic R3 125,En proceso,2026-08-13T20:26:00,
LD-00028,09/08/2026 23:37,WhatsApp,EMP-03,PV-014,ALEXANDER ARIAS OSPINA,+57 302 2506559,,Bogota DC,Suzuky GN 125,sin gestion,,Remate Modelos 2025
LD-00029,2026-08-10 16:39:00,WHATSAPP,EMP-03,PV-015,NELSON AGUDELO ARIAS,3059622427,nelson.agudelo30@yahoo.es,SOACHA,CB 190R,En proceso,11-08-2026,Feria de Motos 2026
LD-00030,03/09/2026 11:21,WhatsApp,EMP-01,PV-003,  Angie Paola Castaño Agudelo  , 3167665975 ,angie.castano63@outlook.com,BELLO,akt dynamic r3 125,Contactado,2026-09-04 17:21:00,Retoma tu moto
LD-00031,2026-08-29 13:41:00,WhatsApp,EMP-01,PV-004,Luz Marina Torres Marín,(302) 164-2321,luz.torres73@hotmail.com,Rionegro,Bajaj,Sin gestión,,
LD-00032,03/09/2026 08:17,whatsapp,EMP-02,PV-006,Liliana Escobar Castaño,573501478583,liliana.escobar85@hotmail.com,B/quilla,Hero Xpulse 200,En proceso,03-09-2026,Feria de Motos 2026
LD-00033,2026-08-13 14:34:00,WhatsApp,EMP-03,PV-014,Édinson Muñoz Arias,321 523 2575,edinson.munoz54@yahoo.es,Bogota,Honda XR,En proceso,14/08/2026 20:34,
LD-00034,23-08-2026,WhatsApp,EMP-01,PV-004,Héctor Valencia Ospina,3176036920,,Rio Negro,Hero Dash 110,No contesta,2026-08-23T06:08:00,Retoma tu moto
LD-00035,2026-08-27T11:58:00,WhatsApp,EMP-02,PV-006,Erika Castaño Mosquera,350-036-3406,,barranquilla,SUZUKI V-STROM 250,Contactado,28-08-2026,
LD-00036,2026-08-04 12:22:00,Meta Ads,EMP-02,PV-007,Sandra Milena Herrera Bedoya,+57 310 8297516,sandra.herrera59@outlook.com,Soledad,Honda XR 150L 2026,Contactado,2026-08-07T12:22:00,
LD-00037,2026-08-04 12:52:00,WhatsApp,EMP-02,PV-008,CRISTIAN CASTAÑO GIRALDO,310 498 3766,cristian.castano79@gmail.com,Cartagena,Suzuki V-Strom 250,no contesta,04/08/2026 18:52,Retoma tu moto
LD-00038,2026-09-01 00:27:00,Formulario Web,EMP-01,PV-002,Natalia Jiménez Marín,3511249372,natalia.jimenez82@gmail.com,Itagui,Honda Dio 110,Sin gestión,,
LD-00039,2026-09-06 22:09:00,WhatsApp,EMP-02,PV-009,YESENIA OSPINA CORREA, 3136365595 ,,Santa Marta,AKT,Sin gestión,,Prima Extra
LD-00040,14/08/2026 06:38,Meta Ads,EMP-01,PV-005,Brayan Rodríguez Marín,313-189-3884,brayan.rodriguez96@hotmail.com,Medellín,Suzuki Gixxer 150,contactado,15-08-2026,
LD-00041,24-08-2026,Formulario Web,EMP-02,PV-006,  Carlos Mario Ospina Gómez  ,3017052774,carlos.ospina64@hotmail.com,Barranquilla,Bajaj Pulsar NS 160,Sin gestión,,Retoma tu moto
LD-00042,08/09/2026 19:56,WhatsApp,EMP-02,PV-006,Sebastián Quintero Gómez, 3169663345 ,,Barranquilla,Honda CB 190R,sin gestion,,
LD-00043,2026-08-23T20:53:00,Meta Ads,EMP-02,PV-009,Claudia Patricia Osorio Herrera,3512679038,,Santa Marta,Honda Dio 110,Cotización enviada,,Agosto Cero Cuotas
LD-00044,09/08/2026 20:06,Formulario Web,EMP-03,PV-011,  Freddy Cardona Marín  ,3169738674,,,Bajaj Pulsar,Cotización enviada,2026-08-10 08:06:00,Feria de Motos 2026
LD-00045,2026-08-27 05:24:00,WhatsApp,EMP-01,PV-001,Kevin Mosquera Restrepo,573511448353,kevin.mosquera49@outlook.com,MEDELLIN,akt dynamic r3 125,Cotización enviada,27-08-2026,
LD-00046,03-09-2026,WhatsApp,EMP-01,PV-002,  Sandra Milena Muñoz Salazar  ,320-637-4600,sandra.munoz72@hotmail.com,Itagui,AKT TTR 200,Contactado,03-09-2026,Agosto Cero Cuotas
LD-00047,2026-08-21 01:24:00,WhatsApp,EMP-01,PV-002,Brayan Osorio Escobar,3127389848,,,Bajaj Boxer CT 100,No contesta,2026-08-23 01:24:00,
LD-00048,2026-08-31 14:04:00,Formulario Web,EMP-02,PV-008,DUVÁN MOSQUERA RODRÍGUEZ,3159155699,,Cartagena,Bajaj Boxer,Contactado,09/01/2026 08:04,Feria de Motos 2026
LD-00049,2026-08-28 18:40:00,WhatsApp,EMP-02,PV-010,  Jorge Iván Bedoya Hernández  ,3059383218,jorge.bedoya49@outlook.com,MONTERIA,Bajaj Dominar 400,Sin gestión,,Agosto Cero Cuotas
LD-00050,09-08-2026,WhatsApp,EMP-02,PV-008,  Wilmar Torres Valencia  ,3015226877,wilmar.torres41@outlook.com,CARTAGENA,Hnda XR 150L,Cotización enviada,2026-08-10T00:53:00,
LD-00051,08/12/2026 19:12,Formulario Web,EMP-02,PV-008,JULIÁN GIRALDO LONDOÑO,3007209329,,CARTAGENA,Bajaj Pulsar NS 160,no contesta,2026-08-13 19:12:00,Prima Extra
LD-00052,2026-08-06 15:52:00,formulario web,EMP-01,PV-004,Y. Castaño Valencia,+57 300 2859667,,Rionegro,Bajaj Boxer CT 100,Descartado,08/07/2026 09:52,Retoma tu moto
LD-00053,2026-08-09 17:55:00,Formulario Web,EMP-01,PV-002,Juan Carlos Jiménez Mosquera, 3151024673 ,juan.jimenez23@yahoo.es,Itagui,bajaj discover 125,Sin gestión,,
LD-00054,2026-08-31 07:03:00,Meta Ads,EMP-01,PV-004,Camilo Agudelo Correa,573515501551,camilo.agudelo23@outlook.com,Rio Negro,Bajaj Boxer,Cotización enviada,09/04/2026 07:03,
LD-00055,18-08-2026,WhatsApp,EMP-01,PV-003,Alexander Castaño Quintero,(301) 046-1565,,BELLO,suzuki best 125,contactado,2026-08-19T19:07:00,Feria de Motos 2026
